null,eda
null,95.3169
null,95.2896
null,96.1722
null,95.9183
null,99.8933
null,95.6147
null,95.2823
null,95.4717
null,95.1513
null,95.2542
null,96.0184
null,99.7421
null,96.0165
null,99.7722
null,99.7584
null,95.639
null,95.6053
null,99.9942
null,95.9322
null,95.9649
null,95.1307
null,96.9515
null,95.7494
null,95.5053
null,95.8365
null,99.6933
null,95.2622
null,95.2342
null,95.9393
null,99.8233
