R,S
100,100
0,0
55,78
50,66
59,74
49,59
52,77
52,79
59,84
56,76
69,80
64,80
66,79
50,83
56,76
67,77
52,73
62,84
62,79
53,70
59,84
47,71
47,52
40,74
56,77
64,91
56,66
52,82
52,70
58,77
51,69
57,76
64,80
66,87
57,78
54,76
61,76
70,84
59,74
56,73
49,51
54,71
48,67
51,63
51,77
44,71
49,71
59,72
48,74
45,62
50,82
60,75
62,73
63,87
47,53
45,73
46,78
60,79
73,92
47,79
59,87
49,74
62,81
47,60
72,91
45,85
52,63
52,75
52,78
50,66
45,73
